0,1,2,3
17,6,134,-297.0
17,0,92,-296.0
57,77,93,-296.0
74,77,124,-295.0
84,49,124,-295.0
85,75,116,-295.0
65,83,111,-293.0
31,52,113,-293.0
34,41,93,-292.0
51,50,99,-292.0
24,60,118,-292.0
84,48,124,-292.0
33,41,113,-292.0
24,61,108,-291.0
59,6,139,-291.0
60,77,93,-291.0
5,50,113,-290.0
24,41,97,-290.0
25,57,134,-290.0
76,77,124,-290.0
56,50,123,-289.0
84,8,124,-289.0
64,67,104,-288.0
34,83,116,-287.0
48,63,87,-287.0
7,67,104,-287.0
61,81,116,-287.0
65,63,141,-287.0
86,35,103,-287.0
13,61,123,-285.0
53,46,130,-285.0
24,6,114,-285.0
66,50,114,-285.0
75,26,106,-285.0
17,20,100,-284.0
77,37,116,-284.0
55,50,108,-283.0
82,54,116,-283.0
62,61,118,-283.0
17,10,92,-282.0
24,61,91,-282.0
31,52,101,-282.0
84,75,100,-281.0
84,75,116,-281.0
86,35,131,-281.0
42,50,108,-280.0
24,61,123,-279.0
1,20,92,-279.0
85,70,120,-279.0
34,46,93,-275.0
69,76,93,-274.0
74,70,124,-274.0
34,70,116,-273.0
51,50,107,-273.0
61,83,116,-273.0
65,54,129,-273.0
65,70,125,-273.0
33,50,108,-273.0
17,50,140,-272.0
23,32,93,-272.0
77,83,93,-272.0
77,43,87,-271.0
34,66,106,-270.0
60,70,93,-270.0
13,10,101,-269.0
17,50,91,-269.0
34,41,127,-268.0
42,41,109,-268.0
85,49,116,-268.0
5,37,92,-267.0
1,34,92,-267.0
86,41,133,-267.0
41,19,116,-266.0
51,50,125,-266.0
61,70,100,-266.0
65,63,129,-266.0
65,77,116,-266.0
66,35,116,-266.0
66,75,100,-266.0
34,70,120,-265.0
34,75,93,-265.0
42,0,127,-265.0
16,48,100,-265.0
17,50,114,-265.0
55,15,139,-265.0
34,6,106,-264.0
43,84,93,-264.0
41,63,130,-263.0
17,4,100,-263.0
66,54,126,-263.0
16,19,100,-262.0
51,50,89,-262.0
61,6,116,-262.0
65,75,129,-262.0
66,81,87,-262.0
16,3,100,-261.0
61,83,129,-261.0
82,63,100,-261.0
66,75,116,-261.0
86,66,133,-261.0
5,81,92,-260.0
56,40,99,-260.0
27,60,124,-260.0
65,70,129,-260.0
83,84,93,-260.0
39,76,123,-259.0
51,50,141,-259.0
28,70,114,-259.0
63,77,100,-259.0
66,83,111,-259.0
41,26,116,-258.0
51,50,130,-258.0
65,49,116,-258.0
65,54,116,-258.0
74,63,124,-258.0
11,29,100,-257.0
77,81,87,-257.0
41,63,141,-256.0
61,83,93,-256.0
28,70,89,-256.0
36,25,113,-255.0
18,50,121,-255.0
61,25,116,-255.0
62,61,136,-255.0
82,54,136,-254.0
65,54,125,-254.0
69,73,93,-254.0
85,54,116,-254.0
7,29,102,-253.0
55,50,89,-253.0
56,50,117,-253.0
34,46,121,-252.0
48,75,93,-252.0
24,61,95,-252.0
65,66,100,-251.0
29,64,102,-251.0
77,83,111,-251.0
41,63,104,-250.0
55,6,127,-250.0
62,81,123,-250.0
65,75,141,-250.0
17,50,121,-249.0
72,76,123,-249.0
41,60,116,-248.0
41,63,120,-248.0
42,50,124,-248.0
5,4,92,-248.0
16,25,100,-248.0
51,50,131,-248.0
83,66,110,-248.0
39,84,123,-247.0
60,83,93,-247.0
62,35,136,-247.0
74,75,100,-247.0
20,76,123,-246.0
12,25,92,-245.0
48,75,100,-245.0
16,0,124,-245.0
17,35,92,-245.0
24,6,129,-245.0
60,54,116,-245.0
61,70,93,-245.0
39,84,93,-244.0
21,29,116,-244.0
24,41,121,-244.0
24,61,120,-243.0
57,15,127,-243.0
65,83,129,-243.0
75,0,111,-243.0
78,66,93,-243.0
66,54,116,-242.0
75,70,99,-242.0
37,70,125,-241.0
5,57,93,-241.0
54,0,114,-241.0
61,8,116,-241.0
33,25,118,-241.0
34,54,121,-240.0
41,66,123,-240.0
53,15,139,-240.0
24,6,118,-240.0
74,49,124,-240.0
78,84,106,-240.0
84,75,111,-240.0
34,41,106,-239.0
61,19,116,-238.0
62,34,93,-238.0
34,70,129,-237.0
17,50,99,-237.0
17,54,100,-237.0
24,6,91,-237.0
63,54,97,-237.0
63,54,126,-237.0
72,46,134,-237.0
76,49,106,-237.0
35,0,106,-236.0
41,70,120,-236.0
66,71,100,-236.0
43,76,93,-235.0
47,50,127,-235.0
24,28,95,-235.0
57,77,116,-235.0
83,73,93,-235.0
72,75,128,-235.0
9,23,116,-235.0
39,6,93,-234.0
46,37,101,-234.0
24,61,112,-234.0
82,83,136,-234.0
82,70,141,-234.0
29,68,102,-234.0
72,76,93,-234.0
76,54,106,-234.0
86,35,116,-234.0
10,41,116,-234.0
34,41,121,-233.0
17,34,92,-233.0
24,0,121,-233.0
61,75,116,-233.0
82,54,120,-233.0
34,6,113,-232.0
37,71,125,-232.0
37,0,124,-232.0
41,57,116,-232.0
42,41,131,-232.0
11,23,116,-232.0
11,29,116,-232.0
18,50,113,-232.0
60,70,87,-232.0
28,70,125,-232.0
74,57,124,-232.0
77,83,87,-232.0
30,81,124,-232.0
34,35,116,-231.0
39,54,123,-231.0
19,0,119,-231.0
21,29,92,-231.0
24,6,113,-231.0
57,83,93,-231.0
61,54,129,-231.0
66,77,93,-231.0
78,70,116,-231.0
40,37,134,-230.0
42,41,107,-230.0
47,61,97,-230.0
17,61,93,-230.0
24,25,100,-230.0
26,0,103,-230.0
65,63,125,-230.0
77,75,111,-230.0
84,70,105,-230.0
84,77,105,-230.0
39,66,123,-229.0
48,83,87,-229.0
69,76,113,-229.0
83,37,100,-229.0
77,83,116,-229.0
34,54,93,-228.0
69,66,108,-228.0
72,77,106,-228.0
40,66,93,-227.0
42,50,126,-227.0
13,41,113,-227.0
82,70,116,-227.0
66,63,124,-227.0
74,77,111,-227.0
75,70,114,-227.0
36,50,124,-226.0
18,25,118,-226.0
53,15,141,-226.0
61,70,125,-226.0
66,77,111,-226.0
77,75,100,-226.0
86,26,116,-226.0
31,52,139,-226.0
42,50,91,-225.0
12,61,92,-225.0
18,50,91,-225.0
7,38,116,-225.0
7,29,92,-225.0
28,70,106,-225.0
28,70,122,-225.0
65,41,116,-225.0
77,81,100,-225.0
85,77,93,-225.0
34,83,106,-224.0
34,70,141,-224.0
16,57,100,-224.0
24,61,115,-224.0
60,75,100,-224.0
62,61,106,-224.0
65,75,116,-224.0
66,81,116,-224.0
74,63,105,-224.0
84,46,124,-224.0
86,26,112,-224.0
34,77,121,-223.0
48,83,111,-223.0
53,28,108,-223.0
55,50,94,-223.0
56,50,109,-223.0
63,83,111,-223.0
77,8,100,-223.0
84,66,124,-223.0
86,35,121,-223.0
19,0,105,-222.0
53,6,141,-222.0
55,50,107,-222.0
55,50,123,-222.0
24,0,124,-222.0
82,49,116,-222.0
62,60,106,-222.0
84,35,124,-222.0
86,46,133,-222.0
86,26,103,-222.0
17,8,100,-221.0
51,50,106,-221.0
24,41,114,-221.0
60,49,116,-221.0
60,19,116,-221.0
27,81,124,-221.0
82,77,136,-221.0
65,41,112,-221.0
66,49,116,-221.0
78,19,128,-221.0
78,75,93,-221.0
84,75,99,-221.0
33,50,140,-221.0
34,46,116,-220.0
34,83,108,-220.0
43,75,128,-220.0
23,39,124,-220.0
61,66,93,-220.0
61,66,116,-220.0
82,77,106,-220.0
63,83,100,-220.0
84,77,99,-220.0
41,54,120,-219.0
63,6,87,-219.0
65,37,111,-219.0
83,66,99,-219.0
72,70,93,-219.0
76,63,108,-219.0
84,71,124,-219.0
34,6,100,-218.0
34,6,116,-218.0
41,66,104,-218.0
16,50,122,-218.0
21,44,116,-218.0
24,61,130,-218.0
24,61,131,-218.0
82,75,136,-218.0
73,70,129,-218.0
74,8,124,-218.0
78,6,98,-218.0
78,6,110,-218.0
1,50,103,-218.0
36,50,140,-217.0
37,81,125,-217.0
53,46,104,-217.0
53,6,108,-217.0
53,28,139,-217.0
55,61,130,-217.0
24,61,127,-217.0
57,35,116,-217.0
73,77,129,-217.0
37,35,125,-216.0
43,6,130,-216.0
17,25,92,-216.0
51,50,116,-216.0
19,70,114,-216.0
61,69,116,-216.0
82,70,136,-216.0
76,71,129,-216.0
33,25,106,-216.0
33,25,130,-216.0
9,44,116,-216.0
48,66,93,-215.0
50,73,94,-215.0
16,0,92,-215.0
18,41,116,-215.0
55,15,141,-215.0
57,15,140,-215.0
82,70,120,-215.0
28,70,93,-215.0
28,70,103,-215.0
65,41,136,-215.0
29,31,100,-215.0
85,83,120,-215.0
34,60,116,-214.0
43,74,115,-214.0
5,0,92,-214.0
12,54,92,-214.0
13,22,92,-214.0
24,60,124,-214.0
57,75,95,-214.0
60,75,93,-214.0
61,49,120,-214.0
28,70,105,-214.0
1,6,134,-214.0
84,60,124,-214.0
34,83,136,-213.0
36,10,124,-213.0
41,63,137,-213.0
14,79,134,-213.0
54,0,111,-213.0
24,81,118,-213.0
60,77,118,-213.0
61,83,137,-213.0
8,70,118,-213.0
66,46,116,-213.0
72,28,128,-213.0
77,83,102,-213.0
84,77,100,-213.0
85,75,141,-213.0
86,19,103,-213.0
40,76,123,-212.0
16,41,118,-212.0
18,0,92,-212.0
18,0,109,-212.0
63,28,87,-212.0
29,67,102,-212.0
75,28,98,-212.0
76,54,124,-212.0
1,46,139,-212.0
84,26,124,-212.0
43,70,93,-211.0
14,44,123,-211.0
56,50,107,-211.0
24,28,132,-211.0
82,77,120,-211.0
63,69,100,-211.0
83,35,123,-211.0
83,71,99,-211.0
2,29,102,-211.0
34,41,116,-210.0
11,67,118,-210.0
47,61,114,-210.0
63,71,87,-210.0
72,75,118,-210.0
78,6,94,-210.0
1,61,92,-210.0
85,70,93,-210.0
86,35,91,-210.0
41,57,104,-209.0
47,37,97,-209.0
55,50,130,-209.0
57,83,123,-209.0
61,63,121,-209.0
63,75,97,-209.0
63,77,111,-209.0
72,71,93,-209.0
75,35,113,-209.0
77,83,91,-209.0
84,63,105,-209.0
33,50,91,-209.0
34,77,88,-208.0
41,63,98,-208.0
48,75,111,-208.0
17,57,100,-208.0
7,32,116,-208.0
22,73,93,-208.0
25,73,93,-208.0
57,54,116,-208.0
61,54,121,-208.0
82,28,136,-208.0
69,84,93,-208.0
72,48,93,-208.0
72,63,106,-208.0
78,76,123,-208.0
84,82,124,-208.0
86,41,136,-208.0
34,6,121,-207.0
48,54,93,-207.0
57,70,93,-207.0
57,77,90,-207.0
76,63,124,-207.0
78,26,116,-207.0
78,28,132,-207.0
84,71,129,-207.0
81,70,114,-206.0
41,77,137,-206.0
18,50,99,-206.0
57,28,98,-206.0
59,61,93,-206.0
61,70,129,-206.0
82,19,116,-206.0
82,75,116,-206.0
29,79,130,-206.0
86,35,87,-206.0
34,63,129,-205.0
34,83,127,-205.0
11,31,100,-205.0
16,61,100,-205.0
19,0,136,-205.0
82,37,116,-205.0
66,69,91,-205.0
72,37,134,-205.0
86,35,112,-205.0
12,0,109,-204.0
48,75,116,-204.0
17,34,100,-204.0
27,0,127,-204.0
84,66,129,-204.0
37,0,125,-203.0
11,29,114,-203.0
48,77,136,-203.0
61,41,116,-203.0
82,6,100,-203.0
28,70,99,-203.0
83,84,97,-203.0
72,54,123,-203.0
84,46,100,-203.0
84,75,105,-203.0
41,35,136,-202.0
42,41,110,-202.0
17,3,92,-202.0
51,50,120,-202.0
20,71,113,-202.0
54,35,96,-202.0
55,50,127,-202.0
57,0,87,-202.0
82,54,124,-202.0
28,70,104,-202.0
62,60,136,-202.0
65,41,100,-202.0
75,70,111,-202.0
34,46,127,-201.0
34,26,118,-201.0
34,83,88,-201.0
41,66,116,-201.0
7,21,104,-201.0
60,83,118,-201.0
60,75,90,-201.0
27,35,124,-201.0
62,35,123,-201.0
66,63,111,-201.0
74,60,124,-201.0
74,75,111,-201.0
84,54,99,-201.0
30,0,124,-201.0
34,6,127,-200.0
39,70,123,-200.0
42,8,88,-200.0
43,76,128,-200.0
16,41,117,-200.0
18,50,114,-200.0
7,21,116,-200.0
20,28,106,-200.0
24,54,118,-200.0
57,15,93,-200.0
61,70,137,-200.0
83,74,93,-200.0
78,6,130,-200.0
78,65,113,-200.0
84,57,124,-200.0
10,41,104,-200.0
37,8,125,-199.0
14,52,123,-199.0
47,50,94,-199.0
50,73,89,-199.0
7,31,116,-199.0
55,50,104,-199.0
60,63,106,-199.0
82,83,116,-199.0
63,19,118,-199.0
31,52,91,-199.0
33,25,104,-199.0
34,41,108,-198.0
34,60,118,-198.0
36,41,93,-198.0
81,70,98,-198.0
37,28,125,-198.0
40,70,110,-198.0
47,50,125,-198.0
49,70,106,-198.0
22,84,93,-198.0
24,25,117,-198.0
24,28,119,-198.0
57,28,136,-198.0
60,46,116,-198.0
62,60,113,-198.0
62,60,123,-198.0
31,52,132,-198.0
34,46,108,-197.0
34,69,116,-197.0
36,35,123,-197.0
11,29,130,-197.0
12,28,92,-197.0
13,41,139,-197.0
47,50,141,-197.0
48,54,116,-197.0
50,48,103,-197.0
56,0,87,-197.0
24,25,123,-197.0
59,41,123,-197.0
60,66,93,-197.0
60,77,90,-197.0
61,63,129,-197.0
65,83,141,-197.0
65,77,117,-197.0
66,83,87,-197.0
29,58,102,-197.0
74,71,124,-197.0
85,83,116,-197.0
34,54,107,-196.0
34,54,120,-196.0
40,77,106,-196.0
53,0,99,-196.0
57,77,117,-196.0
27,50,118,-196.0
82,46,116,-196.0
83,6,100,-196.0
76,70,136,-196.0
84,49,99,-196.0
47,6,127,-195.0
57,46,126,-195.0
59,61,117,-195.0
66,37,126,-195.0
34,54,106,-194.0
41,63,136,-194.0
41,70,137,-194.0
12,37,92,-194.0
57,19,116,-194.0
60,70,132,-194.0
28,70,95,-194.0
63,69,97,-194.0
76,75,100,-194.0
76,77,111,-194.0
78,6,117,-194.0
84,70,111,-194.0
34,37,116,-193.0
34,54,129,-193.0
34,77,108,-193.0
35,70,114,-193.0
42,6,109,-193.0
11,32,104,-193.0
46,81,101,-193.0
21,64,122,-193.0
55,15,127,-193.0
22,54,101,-193.0
57,75,93,-193.0
60,69,93,-193.0
62,61,116,-193.0
63,77,124,-193.0
65,70,141,-193.0
78,34,117,-193.0
33,50,124,-193.0
81,0,136,-192.0
41,70,93,-192.0
20,46,101,-192.0
23,67,118,-192.0
25,6,94,-192.0
57,46,116,-192.0
60,15,137,-192.0
27,37,118,-192.0
65,83,93,-192.0
29,58,116,-192.0
74,73,124,-192.0
78,35,128,-192.0
34,66,116,-191.0
36,50,91,-191.0
41,63,103,-191.0
51,50,110,-191.0
55,6,113,-191.0
22,6,137,-191.0
69,77,113,-191.0
33,81,123,-191.0
34,77,118,-190.0
36,50,99,-190.0
36,61,123,-190.0
41,63,125,-190.0
41,77,136,-190.0
42,25,88,-190.0
13,6,92,-190.0
48,49,126,-190.0
51,50,94,-190.0
24,6,124,-190.0
57,15,107,-190.0
57,83,106,-190.0
66,75,91,-190.0
66,77,124,-190.0
72,84,93,-190.0
73,54,129,-190.0
74,49,129,-190.0
76,46,111,-190.0
78,48,93,-190.0
86,37,119,-190.0
86,6,133,-190.0
34,70,100,-189.0
39,8,123,-189.0
42,41,115,-189.0
47,28,106,-189.0
18,0,96,-189.0
54,70,136,-189.0
24,61,111,-189.0
63,54,118,-189.0
65,48,129,-189.0
66,50,87,-189.0
66,54,91,-189.0
74,71,129,-189.0
76,49,129,-189.0
78,49,135,-189.0
78,74,92,-189.0
85,63,120,-189.0
31,52,103,-189.0
31,52,123,-189.0
39,76,106,-188.0
41,63,124,-188.0
41,70,125,-188.0
42,41,88,-188.0
17,61,107,-188.0
20,76,93,-188.0
56,50,114,-188.0
24,25,113,-188.0
24,61,140,-188.0
57,63,106,-188.0
61,28,116,-188.0
29,44,92,-188.0
29,67,118,-188.0
29,31,130,-188.0
69,41,108,-188.0
73,63,129,-188.0
73,75,100,-188.0
76,8,116,-188.0
84,82,116,-188.0
86,35,122,-188.0
34,66,108,-187.0
36,81,118,-187.0
40,76,106,-187.0
43,70,106,-187.0
5,41,133,-187.0
16,50,136,-187.0
17,37,92,-187.0
17,28,92,-187.0
18,41,104,-187.0
62,81,116,-187.0
65,54,136,-187.0
65,75,97,-187.0
66,77,91,-187.0
69,46,100,-187.0
77,70,93,-187.0
77,3,116,-187.0
78,8,93,-187.0
78,74,136,-187.0
84,63,106,-187.0
30,54,124,-187.0
34,71,100,-186.0
34,77,129,-186.0
36,0,119,-186.0
36,0,127,-186.0
39,84,128,-186.0
48,77,116,-186.0
17,50,100,-186.0
17,61,113,-186.0
51,50,126,-186.0
53,50,122,-186.0
24,28,91,-186.0
82,63,141,-186.0
82,83,120,-186.0
62,61,93,-186.0
62,61,105,-186.0
62,26,116,-186.0
63,81,116,-186.0
63,46,93,-186.0
29,67,134,-186.0
83,28,100,-186.0
75,71,98,-186.0
78,75,116,-186.0
34,75,120,-185.0
14,29,92,-185.0
49,6,123,-185.0
49,70,93,-185.0
17,61,101,-185.0
24,0,118,-185.0
73,75,116,-185.0
78,6,116,-185.0
84,37,124,-185.0
85,77,125,-185.0
34,57,116,-184.0
39,49,123,-184.0
39,66,106,-184.0
40,19,108,-184.0
40,71,123,-184.0
50,8,126,-184.0
22,46,100,-184.0
22,76,93,-184.0
56,37,97,-184.0
57,50,103,-184.0
60,81,116,-184.0
62,60,118,-184.0
63,46,116,-184.0
63,75,118,-184.0
72,46,123,-184.0
72,66,106,-184.0
78,46,134,-184.0
78,6,92,-184.0
78,6,107,-184.0
78,60,93,-184.0
78,28,137,-184.0
84,63,111,-184.0
30,8,124,-184.0
13,10,117,-183.0
53,61,139,-183.0
20,37,101,-183.0
24,41,125,-183.0
57,75,118,-183.0
60,15,140,-183.0
61,70,141,-183.0
82,70,124,-183.0
82,70,125,-183.0
63,75,111,-183.0
65,63,111,-183.0
66,75,93,-183.0
66,75,111,-183.0
34,6,108,-182.0
36,43,97,-182.0
12,3,109,-182.0
17,0,102,-182.0
53,50,114,-182.0
24,28,129,-182.0
59,50,140,-182.0
28,70,98,-182.0
67,79,134,-182.0
75,26,99,-182.0
75,28,136,-182.0
75,70,93,-182.0
78,66,113,-182.0
34,54,127,-181.0
34,66,127,-181.0
41,77,125,-181.0
42,50,99,-181.0
43,76,106,-181.0
48,83,124,-181.0
15,70,93,-181.0
16,50,120,-181.0
57,69,139,-181.0
59,35,118,-181.0
60,75,91,-181.0
63,77,133,-181.0
65,70,93,-181.0
66,63,118,-181.0
73,82,124,-181.0
77,49,126,-181.0
78,60,128,-181.0
1,60,100,-181.0
35,0,104,-180.0
35,0,137,-180.0
11,14,104,-180.0
12,61,93,-180.0
16,34,100,-180.0
60,3,126,-180.0
27,37,123,-180.0
28,70,139,-180.0
62,3,136,-180.0
63,37,95,-180.0
63,70,117,-180.0
78,60,117,-180.0
78,71,97,-180.0
84,66,105,-180.0
9,29,116,-180.0
35,0,116,-179.0
40,76,93,-179.0
43,84,106,-179.0
13,8,92,-179.0
16,50,100,-179.0
51,60,93,-179.0
53,28,141,-179.0
55,50,117,-179.0
22,73,123,-179.0
57,28,94,-179.0
63,49,116,-179.0
65,35,116,-179.0
65,48,100,-179.0
65,63,116,-179.0
66,54,100,-179.0
29,79,107,-179.0
72,41,134,-179.0
72,66,92,-179.0
76,66,129,-179.0
77,54,93,-179.0
77,71,116,-179.0
34,77,107,-178.0
47,50,99,-178.0
17,0,100,-178.0
17,10,95,-178.0
20,54,130,-178.0
56,61,97,-178.0
24,35,96,-178.0
57,15,118,-178.0
61,63,137,-178.0
82,28,116,-178.0
62,61,98,-178.0
62,26,123,-178.0
62,28,123,-178.0
63,35,116,-178.0
65,77,111,-178.0
65,77,120,-178.0
66,26,116,-178.0
29,45,102,-178.0
69,66,133,-178.0
73,54,127,-178.0
74,34,129,-178.0
76,82,124,-178.0
78,54,128,-178.0
2,14,101,-178.0
31,52,89,-178.0
42,41,132,-177.0
13,61,107,-177.0
48,71,100,-177.0
16,0,109,-177.0
20,61,136,-177.0
57,46,87,-177.0
27,81,123,-177.0
82,70,129,-177.0
82,77,129,-177.0
63,19,97,-177.0
63,77,90,-177.0
65,6,116,-177.0
72,49,106,-177.0
76,75,116,-177.0
78,75,135,-177.0
84,65,127,-177.0
86,37,92,-177.0
41,66,130,-176.0
13,10,110,-176.0
49,70,98,-176.0
50,48,127,-176.0
17,26,100,-176.0
51,50,105,-176.0
51,61,93,-176.0
53,6,117,-176.0
54,81,96,-176.0
55,50,99,-176.0
24,41,119,-176.0
61,83,106,-176.0
82,6,116,-176.0
65,37,118,-176.0
65,41,91,-176.0
65,46,100,-176.0
65,75,100,-176.0
29,64,92,-176.0
69,66,135,-176.0
75,28,94,-176.0
78,70,110,-176.0
84,77,125,-176.0
10,63,106,-176.0
34,54,88,-175.0
35,0,140,-175.0
37,70,93,-175.0
41,70,129,-175.0
15,6,123,-175.0
17,82,101,-175.0
54,70,93,-175.0
24,61,132,-175.0
24,26,124,-175.0
61,70,106,-175.0
62,28,99,-175.0
76,77,125,-175.0
78,28,97,-175.0
78,71,135,-175.0
86,54,116,-175.0
33,50,99,-175.0
9,32,116,-175.0
40,63,110,-174.0
42,8,127,-174.0
43,71,130,-174.0
18,0,110,-174.0
19,0,122,-174.0
53,35,141,-174.0
61,60,93,-174.0
8,6,129,-174.0
82,77,141,-174.0
62,35,113,-174.0
62,35,116,-174.0
63,49,97,-174.0
66,83,124,-174.0
83,74,99,-174.0
74,63,106,-174.0
76,65,124,-174.0
84,74,124,-174.0
40,28,123,-173.0
5,46,92,-173.0
17,20,92,-173.0
18,41,97,-173.0
20,73,123,-173.0
24,6,104,-173.0
24,61,97,-173.0
57,77,102,-173.0
61,66,141,-173.0
82,26,124,-173.0
82,63,116,-173.0
28,0,118,-173.0
63,26,116,-173.0
66,77,133,-173.0
69,84,113,-173.0
75,35,93,-173.0
76,70,124,-173.0
86,35,127,-173.0
86,37,116,-173.0
31,52,117,-173.0
31,79,104,-173.0
9,31,116,-173.0
42,0,96,-172.0
13,46,116,-172.0
48,54,111,-172.0
51,50,98,-172.0
53,6,130,-172.0
20,70,93,-172.0
24,20,95,-172.0
82,35,116,-172.0
82,8,116,-172.0
82,70,93,-172.0
63,19,116,-172.0
65,75,137,-172.0
69,70,132,-172.0
72,66,113,-172.0
76,34,129,-172.0
76,35,116,-172.0
77,83,124,-172.0
78,77,92,-172.0
34,41,118,-171.0
34,66,118,-171.0
37,8,118,-171.0
43,70,110,-171.0
50,71,110,-171.0
16,81,100,-171.0
16,41,97,-171.0
16,20,100,-171.0
53,61,123,-171.0
22,19,136,-171.0
23,45,116,-171.0
57,46,118,-171.0
60,75,111,-171.0
60,77,124,-171.0
8,71,114,-171.0
82,54,125,-171.0
82,75,129,-171.0
62,35,106,-171.0
66,19,116,-171.0
29,79,100,-171.0
75,46,98,-171.0
78,35,116,-171.0
78,8,116,-171.0
86,35,98,-171.0
86,35,120,-171.0
10,41,127,-171.0
34,54,118,-170.0
48,49,87,-170.0
48,60,93,-170.0
17,6,92,-170.0
18,41,118,-170.0
53,0,109,-170.0
56,50,87,-170.0
24,81,124,-170.0
61,63,106,-170.0
26,71,136,-170.0
29,45,92,-170.0
29,68,92,-170.0
77,83,106,-170.0
78,19,93,-170.0
84,70,114,-170.0
85,77,136,-170.0
86,35,97,-170.0
35,0,102,-169.0
36,41,113,-169.0
37,26,125,-169.0
40,57,123,-169.0
5,37,133,-169.0
48,83,90,-169.0
51,50,122,-169.0
20,84,93,-169.0
55,6,139,-169.0
24,6,120,-169.0
57,77,132,-169.0
82,61,116,-169.0
82,83,129,-169.0
62,60,116,-169.0
63,54,116,-169.0
63,77,102,-169.0
65,41,104,-169.0
65,54,120,-169.0
65,66,141,-169.0
72,28,130,-169.0
74,70,105,-169.0
78,6,105,-169.0
84,81,124,-169.0
2,23,116,-169.0
86,35,135,-169.0
31,52,137,-169.0
34,54,136,-168.0
36,35,109,-168.0
42,41,139,-168.0
42,0,102,-168.0
11,21,116,-168.0
5,0,102,-168.0
16,37,100,-168.0
53,3,117,-168.0
20,75,123,-168.0
54,70,114,-168.0
55,15,129,-168.0
23,31,116,-168.0
23,32,118,-168.0
24,61,114,-168.0
25,26,100,-168.0
57,70,132,-168.0
58,10,116,-168.0
59,61,110,-168.0
60,75,132,-168.0
27,0,119,-168.0
63,83,90,-168.0
83,74,113,-168.0
74,71,100,-168.0
77,15,87,-168.0
77,83,123,-168.0
85,35,116,-168.0
85,77,113,-168.0
31,52,90,-168.0
